Participant_ID,Gender,Age,Ethnicity,Country,T1Extraversion,T1SWLS,T2SWLS,SWLS_Diff,T1Lonely,T2Lonely,Lonely_Diff,T1BMPN,T2BMPN,BMPN_Diff,SocialDistancing,SixFeet
1,Male,23,White,Canada,4.75,4.8,5,0.2,1.421052632,1.473684211,0.052631579,5.166666667,5.5,0.333333333,1,0
2,Female,19,Hispanic,Mexico,3.833333333,4.4,3.2,-1.2,3.157894737,2.894736842,-0.263157895,3,1.666666667,-1.333333333,1,4
3,Female,20,White,UK,4,5.8,4,-1.8,2.684210526,2.736842105,0.052631579,5.166666667,3.833333333,-1.333333334,0,0
4,Male,19,White,USA,3.916666667,5.4,6,0.6,1.421052632,2.210526316,0.789473684,6,5.333333333,-0.666666667,1,4
5,Male,22,White,UK,4.25,5.6,5.4,-0.2,1.421052632,1.105263158,-0.315789474,6.5,6.166666667,-0.333333333,1,2
6,Female,21,White,UK,4.333333333,4.6,4.2,-0.4,1.842105263,1.842105263,0,5,3.5,-1.5,1,0
7,Female,20,Asian,USA,3.5,4,3.4,-0.6,1.631578947,1.421052632,-0.210526315,5.166666667,4.166666667,-1,1,0
8,Male,26,White,UK,3.583333333,5.6,5.6,0,2.631578947,2.210526316,-0.421052631,3.5,4.666666667,1.166666667,1,2
9,Male,37,White,Ireland,2.083333333,1,1,0,3.842105263,3.473684211,-0.368421052,2,3.166666667,1.166666667,1,0
10,Male,41,Black,USA,3.333333333,1.8,1,-0.8,3.052631579,3.368421053,0.315789474,3.666666667,3.666666667,0,1,1
11,Male,34,White,USA,3.416666667,4.2,4.8,0.6,2.526315789,2.578947368,0.052631579,5.166666667,3.833333333,-1.333333334,1,0
12,Female,30,More than one,UK,4.25,1,2,1,3.421052632,3.105263158,-0.315789474,2.166666667,3.333333333,1.166666666,1,0
13,Female,23,White,UK,4.25,5.4,4.4,-1,1.947368421,2.052631579,0.105263158,5.333333333,4.333333333,-1,1,0
14,Female,21,Asian,USA,4.916666667,5.4,5.2,-0.2,1.421052632,1.578947368,0.157894736,5.333333333,4.333333333,-1,1,0
15,Male,40,White,UK,3.416666667,3.2,4.4,1.2,2.157894737,2,-0.157894737,5.166666667,5.5,0.333333333,1,2
16,Female,19,Asian,USA,3.666666667,2.4,1,-1.4,1.736842105,2.473684211,0.736842106,5.666666667,4.166666667,-1.5,1,0
17,Female,21,Asian,Canada,3.416666667,4.6,6,1.4,1.842105263,1.894736842,0.052631579,5.333333333,5.5,0.166666667,1,0
18,Male,39,White,USA,6,5.8,5.2,-0.6,1.052631579,2.526315789,1.47368421,6,4,-2,1,0
19,Female,19,White,Slovenia,3.166666667,4,3.6,-0.4,2.736842105,2.368421053,-0.368421052,5.333333333,2.833333333,-2.5,1,0
20,Female,33,White,USA,3.916666667,2,2.8,0.8,3.105263158,3.421052632,0.315789474,3.833333333,3.333333333,-0.5,1,0
21,Male,24,White,USA,4.333333333,4.6,3.2,-1.4,2.263157895,2.210526316,-0.052631579,4.5,4.5,0,0,0
22,Female,27,Black,USA,4.666666667,3.8,3.4,-0.4,1.789473684,2,0.210526316,4.666666667,5.166666667,0.5,1,0
23,Female,29,White,UK,4.083333333,5,4.8,-0.2,1.947368421,1.736842105,-0.210526316,4.666666667,4.833333333,0.166666666,1,0
24,Male,58,White,UK,3.416666667,3.6,3.6,0,2.263157895,1.789473684,-0.473684211,4.666666667,5,0.333333333,0,0
25,Female,30,White,UK,3.5,5,1.8,-3.2,2.842105263,3.421052632,0.578947369,5.5,2.333333333,-3.166666667,1,0
26,Male,20,White,Greece,3.916666667,5.4,3.6,-1.8,2,1.736842105,-0.263157895,5.166666667,7,1.833333333,1,0
27,Female,21,More than one,UK,2.916666667,5.2,5,-0.2,2.473684211,2.263157895,-0.210526316,6,5.333333333,-0.666666667,1,0
28,Female,34,White,Australia,3.833333333,5.2,5.8,0.6,2.842105263,2.684210526,-0.157894737,5.666666667,5.5,-0.166666667,1,0
29,Female,22,White,Sweden,4.5,2.4,5.2,2.8,2.210526316,1.315789474,-0.894736842,5.333333333,6.833333333,1.5,0,0
30,Male,38,White,Poland,4.416666667,4.2,4.4,0.2,2.263157895,1.789473684,-0.473684211,4.833333333,5.833333333,1,1,1
31,Male,33,More than one,USA,5,5,5.4,0.4,1.473684211,1.210526316,-0.263157895,5.5,5.833333333,0.333333333,1,0
32,Male,39,White,UK,3,2.2,2.6,0.4,2.578947368,3,0.421052632,4,3,-1,1,4
33,Male,23,White,UK,3.166666667,4.2,4.2,0,2.105263158,2.052631579,-0.052631579,5,5.5,0.5,1,3
34,Male,28,White,USA,4,1.6,1.4,-0.2,2.210526316,2.105263158,-0.105263158,6.333333333,5.166666667,-1.166666666,1,0
35,Female,28,White,USA,3.916666667,6,4,-2,2.473684211,1.894736842,-0.578947369,4.166666667,5.166666667,1,1,0
36,Female,60,White,USA,4.5,2,2,0,3.315789474,2.894736842,-0.421052632,3.666666667,4.333333333,0.666666666,1,2
37,Female,29,White,USA,5.416666667,5.2,4.8,-0.4,1.157894737,1.210526316,0.052631579,6.5,6.333333333,-0.166666667,1,1
38,Male,23,Asian,USA,3.083333333,2,2,0,2.631578947,2.578947368,-0.052631579,4.666666667,3,-1.666666667,1,0
39,Male,27,White,USA,2.916666667,4.6,6,1.4,1.894736842,1.421052632,-0.47368421,5.166666667,5.5,0.333333333,0,3
40,Female,46,White,USA,5.583333333,5.8,5.8,0,1.052631579,1.526315789,0.47368421,5.833333333,3.666666667,-2.166666666,1,1
41,Female,51,White,UK,3.25,5.6,4.8,-0.8,2.421052632,1.368421053,-1.052631579,5,6.333333333,1.333333333,0,7
42,Female,28,White,Portugal,2.25,3.6,2,-1.6,3.368421053,3.210526316,-0.157894737,3,3.666666667,0.666666667,1,0
43,Female,21,Middle-Eastern,UK,2.75,4,3.2,-0.8,3.263157895,3.421052632,0.157894737,3.666666667,4.333333333,0.666666666,1,0
44,Female,27,White,Netherlands,4.75,5.8,5.4,-0.4,1.421052632,1.368421053,-0.052631579,5.5,5.333333333,-0.166666667,1,0
45,Female,23,White,Poland,5.5,6.4,5,-1.4,1.578947368,1.578947368,0,5.5,5.833333333,0.333333333,1,4
46,Male,18,White,Portugal,3.75,1.4,3.4,2,3.105263158,3,-0.105263158,3.666666667,3.333333333,-0.333333334,1,0
47,Female,22,White,Canada,4.416666667,3.2,2.6,-0.6,3,2.157894737,-0.842105263,2.833333333,5,2.166666667,1,0
48,Female,48,White,Canada,4.25,2.6,3.4,0.8,2.684210526,2.368421053,-0.315789473,4.333333333,4.666666667,0.333333334,1,0
49,Male,25,Asian,Canada,4.916666667,1.8,2.8,1,2,2.526315789,0.526315789,5.333333333,2.5,-2.833333333,1,0
50,Male,25,Asian,UK,3.666666667,3.2,2,-1.2,2.526315789,2.736842105,0.210526316,3.666666667,4,0.333333333,1,3
51,Male,24,White,UK,3.666666667,4.4,4,-0.4,2.315789474,1.473684211,-0.842105263,4.166666667,4.166666667,0,1,0
52,Male,34,White,Portugal,4.5,4.6,3,-1.6,2.105263158,1.578947368,-0.52631579,5.166666667,6,0.833333333,1,0
53,Male,25,White,israel,3.333333333,3.6,4,0.4,1.789473684,2.263157895,0.473684211,5,4.5,-0.5,1,1
54,Female,35,White,New Zealand,4.25,4.2,5.2,1,2.157894737,2.421052632,0.263157895,5.833333333,5,-0.833333333,1,0
55,Female,39,White,USA,3.083333333,6,6,0,1.684210526,1.578947368,-0.105263158,5.833333333,5,-0.833333333,1,4
56,Male,28,White,UK,5.333333333,6.4,5.4,-1,1.368421053,1.210526316,-0.157894737,5.666666667,6.333333333,0.666666666,1,0
57,Male,24,White,UK,3.833333333,1,1,0,2.842105263,2.842105263,0,2.666666667,4,1.333333333,1,0
58,Male,31,White,USA,4.166666667,5.2,5.2,0,2.105263158,2.578947368,0.47368421,4.333333333,3.833333333,-0.5,1,0
59,Male,20,Asian,UK,4.083333333,4.2,3.6,-0.6,1.473684211,1.263157895,-0.210526316,5.5,6.5,1,1,0
60,Male,36,White,Germany,4.416666667,5,4.6,-0.4,2.315789474,2.263157895,-0.052631579,4.833333333,3.833333333,-1,1,5
61,Female,30,White,UK,4.333333333,4.2,3.6,-0.6,2.105263158,2.368421053,0.263157895,4.5,4.5,0,1,0
62,Female,26,White,UK,4.916666667,5.2,6.2,1,1.210526316,1.210526316,0,6,6.5,0.5,1,0
63,Female,23,White,Greece,4,1.6,1.8,0.2,2.631578947,1.842105263,-0.789473684,3.666666667,3.833333333,0.166666666,1,2
64,Female,40,White,UK,4.333333333,6.2,5.2,-1,1.526315789,1.421052632,-0.105263157,5.333333333,6.833333333,1.5,1,0
65,Male,26,White,Australia,3,2,3.6,1.6,2.210526316,1.947368421,-0.263157895,5,3.833333333,-1.166666667,1,0
66,Female,26,White,UK,4.333333333,2.6,4,1.4,1.736842105,1.210526316,-0.526315789,5.666666667,5.666666667,0,1,3
67,Male,25,White,Poland,5.166666667,4.8,4.4,-0.4,1.105263158,1.421052632,0.315789474,6.833333333,1.666666667,-5.166666666,1,0
68,Male,35,White,Greece,3.916666667,4.4,4.8,0.4,2.473684211,2.473684211,0,4.166666667,3.666666667,-0.5,0,1
69,Male,18,White,Portugal,4.083333333,4.8,4.4,-0.4,2.052631579,2.157894737,0.105263158,5.5,5.333333333,-0.166666667,1,0
70,Female,18,Asian,UK,4.333333333,5.6,6,0.4,2,1.842105263,-0.157894737,5,4.333333333,-0.666666667,1,0
71,Male,22,White,Italy,4,3.2,3.2,0,2.578947368,2.578947368,0,4,3.5,-0.5,1,1
72,Female,33,White,UK,5.333333333,5.2,4,-1.2,1.368421053,1.736842105,0.368421052,5,4.166666667,-0.833333333,1,0
73,Female,26,White,Poland,3.416666667,3,3.4,0.4,2.631578947,2.736842105,0.105263158,2.833333333,3.5,0.666666667,1,0
74,Male,32,Asian,USA,5.333333333,2.2,2.4,0.2,1.526315789,1.421052632,-0.105263157,4.833333333,4.833333333,0,1,3
75,Male,25,Hispanic,USA,4.416666667,4.8,4.8,0,1.736842105,1.947368421,0.210526316,5,4.833333333,-0.166666667,1,0
76,Female,46,White,Portugal,5,4.6,4.2,-0.4,1.842105263,2.315789474,0.473684211,4.666666667,5,0.333333333,1,3
77,Female,25,White,Belgium,3.583333333,4,4.6,0.6,2.315789474,1.789473684,-0.52631579,4.333333333,3.833333333,-0.5,1,0
78,Male,27,White,Belgium,3.666666667,5.8,5.8,0,2.894736842,3,0.105263158,4.5,5,0.5,1,0
79,Female,23,White,Portugal,3.5,2.4,2.6,0.2,1.842105263,1.789473684,-0.052631579,4.5,2.5,-2,1,0
80,Male,55,White,UK,3.166666667,1,1.8,0.8,2.631578947,2.736842105,0.105263158,4.5,4.666666667,0.166666667,1,0
81,Male,38,White,UK,3.833333333,4,4,0,2.842105263,2.315789474,-0.526315789,3.833333333,4.5,0.666666667,1,3
82,Male,26,Hispanic,USA,3.916666667,3.4,4.4,1,1.421052632,2.368421053,0.947368421,5.333333333,2.833333333,-2.5,1,2
83,Male,32,Asian,UK,5.166666667,4.2,4.6,0.4,1.842105263,1.789473684,-0.052631579,4.166666667,4.5,0.333333333,1,0
84,Male,38,White,USA,2.833333333,3,3.6,0.6,2.105263158,1.368421053,-0.736842105,4.833333333,5.5,0.666666667,0,1
85,Female,40,White,Portugal,4.833333333,3,4.6,1.6,2.210526316,1.842105263,-0.368421053,6,6.666666667,0.666666667,1,0
86,Female,24,Asian,UK,4.583333333,2.6,2,-0.6,2.684210526,2.526315789,-0.157894737,4.666666667,4.666666667,0,1,7
87,Female,25,White,Estonia,4.166666667,4.2,4.6,0.4,1.894736842,2.210526316,0.315789474,4.333333333,5,0.666666667,1,2
88,Male,22,White,USA,3.25,1.4,1.6,0.2,3.421052632,3.526315789,0.105263157,2.666666667,2,-0.666666667,1,0
89,Male,26,White,Poland,4.583333333,4.6,4.2,-0.4,2,2.210526316,0.210526316,4.833333333,5.5,0.666666667,1,5
90,Female,28,White,UK,4.75,5,5,0,1.947368421,1.894736842,-0.052631579,4,5.666666667,1.666666667,1,0
91,Female,32,White,UK,3.166666667,3.8,3.6,-0.2,2.736842105,2.210526316,-0.526315789,4.833333333,4.166666667,-0.666666666,1,2
92,Male,32,White,Canada,3.333333333,5.6,5.2,-0.4,1.684210526,1.736842105,0.052631579,6.5,5.666666667,-0.833333333,1,0
93,Female,24,White,UK,4.666666667,4.6,5,0.4,1.263157895,1.210526316,-0.052631579,4,5.666666667,1.666666667,1,1
94,Female,50,White,USA,3.666666667,1.4,2.2,0.8,1.789473684,1.842105263,0.052631579,5.333333333,4.833333333,-0.5,1,0
95,Female,28,White,USA,5.083333333,1.4,3.8,2.4,2.315789474,2,-0.315789474,4.166666667,7,2.833333333,1,4
96,Female,29,Asian,USA,3.333333333,1,1.8,0.8,3.578947368,3.473684211,-0.105263157,2.833333333,2,-0.833333333,1,4
97,Male,52,White,USA,4.916666667,6.4,6.4,0,1,1.421052632,0.421052632,6.333333333,5.833333333,-0.5,1,0
98,Female,44,White,UK,3.416666667,5.2,5.2,0,1.789473684,1.842105263,0.052631579,5.166666667,5,-0.166666667,1,0
99,Male,19,White,Italy,3.75,2.6,4.2,1.6,2.947368421,2.947368421,0,3,4.5,1.5,1,0
100,Male,31,White,USA,3.666666667,6.8,5.6,-1.2,1.526315789,2.105263158,0.578947369,4.833333333,4.333333333,-0.5,1,1
101,Male,32,More than one,USA,2.666666667,5.2,5.2,0,1.368421053,1.263157895,-0.105263158,6.166666667,5.833333333,-0.333333334,1,0
102,Non-Binary,26,White,Slovenia,5,6.6,5.6,-1,1.315789474,1.368421053,0.052631579,6,6.5,0.5,1,3
103,Male,26,White,Poland,3.666666667,5,5.2,0.2,2.473684211,2.368421053,-0.105263158,5,4.333333333,-0.666666667,1,0
104,Female,24,White,UK,2.916666667,1.2,1,-0.2,3.157894737,2.526315789,-0.631578948,3.5,6.166666667,2.666666667,1,0
105,Female,22,White,ireland,5,4.4,4.6,0.2,1.578947368,1.526315789,-0.052631579,4.833333333,5,0.166666667,1,0
106,Male,42,White,USA,5,4.4,4.8,0.4,1.157894737,1.052631579,-0.105263158,7,5.666666667,-1.333333333,1,0
107,Female,24,White,UK,4.416666667,3.8,5.2,1.4,1.736842105,1.368421053,-0.368421052,4.833333333,4.166666667,-0.666666666,1,5
108,Female,29,White,UK,2.5,3.4,2.2,-1.2,3.631578947,2.894736842,-0.736842105,4.833333333,5.5,0.666666667,1,5
109,Male,18,Asian,UK,4.75,2,1.8,-0.2,1.789473684,1.421052632,-0.368421052,4.833333333,5.5,0.666666667,1,0
110,Female,30,White,UK,2.5,3.4,4,0.6,2.578947368,2.263157895,-0.315789473,4.166666667,3.833333333,-0.333333334,1,0
111,Female,34,White,USA,3.25,6.4,5,-1.4,2.315789474,2.736842105,0.421052631,5.666666667,3.833333333,-1.833333334,1,0
112,Male,23,White,Poland,3.75,3.4,4,0.6,2.105263158,2.368421053,0.263157895,5.666666667,3.166666667,-2.5,0,0
113,Male,32,White,USA,3.333333333,2,2.6,0.6,2.526315789,2.578947368,0.052631579,4.166666667,4.333333333,0.166666666,1,2
114,Female,46,Asian,UK,4.416666667,6.8,5.2,-1.6,1.736842105,1.578947368,-0.157894737,5.833333333,4.5,-1.333333333,1,2
115,Male,22,White,Poland,4.083333333,4.2,3.8,-0.4,2.842105263,2.789473684,-0.052631579,4.333333333,4.333333333,0,0,7
116,Male,35,Black,USA,3.25,1.2,2.6,1.4,2.842105263,1.526315789,-1.315789474,3.833333333,5.333333333,1.5,1,0
117,Male,65,White,USA,4.416666667,5.6,6.2,0.6,2.052631579,1.315789474,-0.736842105,5,5.5,0.5,1,1
118,Female,37,White,UK,4.333333333,4.8,5.4,0.6,1.842105263,1.473684211,-0.368421052,5.5,6.333333333,0.833333333,1,3
119,Female,33,Asian,USA,3.5,3.6,3,-0.6,2.315789474,2.473684211,0.157894737,4.5,5.166666667,0.666666667,1,0
120,Female,46,White,Germany,4.166666667,3.2,3.2,0,2.105263158,1.894736842,-0.210526316,4.666666667,5.666666667,1,1,0
121,Female,22,White,UK,2.75,3,3.4,0.4,2.315789474,2.631578947,0.315789473,3,3,0,1,3
122,Male,21,White,Poland,4,3.8,4.8,1,2.736842105,2.631578947,-0.105263158,4.666666667,4.833333333,0.166666666,1,1
123,Male,40,White,USA,3.75,7,7,0,1.052631579,1,-0.052631579,7,7,0,1,0
124,Male,45,White,Italy,2.5,2,2.4,0.4,2.894736842,2.210526316,-0.684210526,5,6.666666667,1.666666667,1,0
125,Female,18,Asian,UK,3.083333333,4.6,4.6,0,2.473684211,2.421052632,-0.052631579,5.166666667,2.333333333,-2.833333334,1,0
126,Male,42,American Indian/Alaskan Native,USA,3.416666667,2.6,2.8,0.2,1.526315789,1.789473684,0.263157895,3.833333333,5.666666667,1.833333334,1,0
127,Male,30,Hispanic,USA,2.833333333,3.2,3.2,0,1,1.105263158,0.105263158,6.333333333,7,0.666666667,1,0
128,Female,49,Asian,USA,3.583333333,4.6,4,-0.6,1.157894737,1.263157895,0.105263158,5.833333333,4.666666667,-1.166666666,1,1
129,Male,26,White,Italy,3.416666667,1,1,0,3.105263158,3.421052632,0.315789474,2.5,2.833333333,0.333333333,1,0
130,Female,47,White,UK,5.416666667,4.8,4.6,-0.2,1.526315789,1.894736842,0.368421053,6,6.833333333,0.833333333,1,0
131,Male,28,White,Portugal,4.166666667,2.6,2.2,-0.4,2.578947368,2.526315789,-0.052631579,2.333333333,3.166666667,0.833333334,1,0
132,Male,20,White,Germany,3.916666667,5.6,5.2,-0.4,1.157894737,1.105263158,-0.052631579,6.166666667,5.833333333,-0.333333334,1,5
133,Female,64,White,USA,4.75,3.4,5,1.6,1.631578947,1.157894737,-0.47368421,5.5,6.333333333,0.833333333,1,0
134,Female,62,White,UK,3.666666667,4.6,5,0.4,1.947368421,1.947368421,0,5.333333333,4.833333333,-0.5,1,0
135,Male,55,White,UK,3.333333333,4.2,4.8,0.6,2.315789474,1.631578947,-0.684210527,5.333333333,5.166666667,-0.166666666,1,3
136,Male,19,White,Germany,3.916666667,3.8,4.2,0.4,2.368421053,2.684210526,0.315789473,4.833333333,4.333333333,-0.5,1,0
137,Female,42,White,UK,3.25,5,6,1,2.473684211,1.842105263,-0.631578948,3.5,5.833333333,2.333333333,1,0
138,Male,39,White,UK,3.416666667,4.6,4.4,-0.2,2.684210526,2.578947368,-0.105263158,3.5,5.333333333,1.833333333,1,0
139,Female,18,White,USA,4.416666667,5,4.4,-0.6,1.263157895,1.105263158,-0.157894737,5.333333333,6,0.666666667,1,1
140,Male,60,White,USA,5.75,7,6.8,-0.2,1,1.052631579,0.052631579,7,7,0,1,0
141,Female,46,White,UK,4.75,5.6,5.4,-0.2,1.736842105,1.947368421,0.210526316,6.5,6.5,0,1,2
142,Male,53,White,Wales,3.416666667,3.4,3.2,-0.2,2.210526316,2.315789474,0.105263158,5.666666667,5.333333333,-0.333333334,1,4
143,Female,36,White,UK,4.75,2.2,1.6,-0.6,1.105263158,1.315789474,0.210526316,5.166666667,5.166666667,0,1,4
144,Male,19,White,Greece,3.25,2.4,2,-0.4,3.684210526,2.789473684,-0.894736842,4.833333333,5.666666667,0.833333334,1,1
145,Male,51,White,UK,2.5,1.8,2.4,0.6,3.368421053,3.105263158,-0.263157895,3,4.333333333,1.333333333,1,0
146,Female,33,Hispanic,Mexico,3.166666667,3,3.2,0.2,2.473684211,2.315789474,-0.157894737,4.666666667,4,-0.666666667,1,0
147,Female,23,White,Portugal,2.916666667,3,2.8,-0.2,2.736842105,2.421052632,-0.315789473,5.333333333,5.333333333,0,1,0
148,Female,37,White,UK,4.916666667,5.2,5.2,0,1.578947368,1.421052632,-0.157894736,5.666666667,6,0.333333333,1,0
149,Female,25,White,Italy,4.5,4.6,5.4,0.8,2,1.947368421,-0.052631579,4.833333333,4.666666667,-0.166666666,1,0
150,Female,25,White,Estonia,2.666666667,5.2,4.4,-0.8,2.526315789,1.526315789,-1,4.833333333,4.5,-0.333333333,1,5
151,Male,25,White,Canada,4,2.8,2.6,-0.2,2.631578947,2.947368421,0.315789474,5,4.666666667,-0.333333333,1,2
152,Male,42,White,USA,3.416666667,4.8,5.8,1,2.210526316,2.526315789,0.315789473,4,5.166666667,1.166666667,1,4
153,Male,20,White,Poland,3.916666667,5.2,4.2,-1,1.368421053,1.473684211,0.105263158,3.666666667,4.333333333,0.666666666,0,1
154,Female,28,White,Poland,3.083333333,3.4,2.2,-1.2,2.105263158,2.631578947,0.526315789,5.5,2.5,-3,1,1
155,Female,69,White,UK,4,5.2,3.8,-1.4,1.473684211,1.421052632,-0.052631579,6.166666667,5.333333333,-0.833333334,1,0
156,Male,36,White,USA,2.75,3.2,3.2,0,2.789473684,2.210526316,-0.578947368,3.666666667,4.666666667,1,1,4
157,Female,29,White,UK,3.166666667,1,1,0,3.263157895,3.368421053,0.105263158,2.5,3.333333333,0.833333333,1,0
158,Female,21,White,Poland,3.333333333,1,2.2,1.2,3.157894737,2.105263158,-1.052631579,1.833333333,4.833333333,3,1,0
159,Female,31,White,Estonia,3.25,4.4,4.4,0,2.842105263,2.315789474,-0.526315789,5.5,7,1.5,1,0
160,Male,20,White,UK,3.75,5.2,5.2,0,1.684210526,2.052631579,0.368421053,5.333333333,3.833333333,-1.5,1,1
161,Female,45,White,Poland,3.5,3,3.8,0.8,2.526315789,2.157894737,-0.368421052,5,5.333333333,0.333333333,1,3
162,Male,24,White,USA,2.416666667,1.4,1,-0.4,3.105263158,2.526315789,-0.578947369,6,4.5,-1.5,1,5
163,Male,22,White,USA,2.75,1,1.2,0.2,2.263157895,2.263157895,0,3.166666667,4.666666667,1.5,1,0
164,Male,32,White,Canada,4.833333333,6,5.6,-0.4,1.368421053,1.421052632,0.052631579,6,6,0,1,0
165,Female,19,Asian,Spain,3.666666667,5,5,0,1.789473684,2.105263158,0.315789474,5,4.5,-0.5,1,0
166,Female,49,White,Canada,3.416666667,2.4,3.6,1.2,2.473684211,2.894736842,0.421052631,4.666666667,4.333333333,-0.333333334,1,2
