"","Finished","Duration (in seconds)","Gender","Age","Serious_check","recall_score","condition","contradiction_1","contradiction_2","contradiction_3","contradiction_4","contradiction_5","contradiction_6","confusion","advancement"
"1",1,428,2,50,1,7,"Block_3_Qualified_Conflict",5,5,4,4,4,5,4,-1
"2",1,364,2,23,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
"3",1,384,1,28,1,7,"Block_2_Generic_Consistent",1,2,1,1,4,3,1,1
"4",1,632,2,24,1,7,"Block_2_Generic_Consistent",3,4,2,2,2,1,4,-1
"5",1,430,2,26,1,7,"Block_1_Generic_Conflict",4,4,4,4,4,4,4,0
"6",1,543,2,27,1,7,"Block_4_Qualified_Consistent",1,3,1,4,1,1,2,0
"7",1,363,2,19,1,7,"Block_2_Generic_Consistent",1,1,5,1,1,1,5,-1
"8",1,354,1,21,1,6,"Block_1_Generic_Conflict",4,4,2,4,3,4,4,0
"9",1,377,2,19,1,7,"Block_3_Qualified_Conflict",4,5,2,3,2,5,5,-1
"10",1,401,2,57,1,7,"Block_1_Generic_Conflict",5,4,5,3,5,3,5,-1
"11",1,590,2,38,1,7,"Block_4_Qualified_Consistent",1,2,1,4,1,1,1,0
"12",1,473,1,47,1,7,"Block_2_Generic_Consistent",2,3,2,3,2,2,3,0
"13",1,432,2,29,1,6,"Block_4_Qualified_Consistent",2,2,2,2,2,4,5,-1
"14",1,534,2,32,1,7,"Block_4_Qualified_Consistent",1,4,2,3,1,2,2,0
"15",1,339,1,40,1,7,"Block_2_Generic_Consistent",1,1,1,4,3,1,2,0
"16",1,371,2,36,1,7,"Block_3_Qualified_Conflict",5,5,5,4,5,5,5,0
"17",1,407,2,32,1,7,"Block_4_Qualified_Consistent",4,4,4,4,3,2,4,0
"18",1,352,1,18,1,7,"Block_1_Generic_Conflict",3,4,5,5,5,5,4,0
"19",1,482,1,23,1,7,"Block_3_Qualified_Conflict",5,5,5,3,3,4,5,0
"20",1,380,1,42,1,7,"Block_2_Generic_Consistent",2,1,4,3,4,2,4,0
"21",1,437,2,32,1,7,"Block_1_Generic_Conflict",2,4,5,4,4,5,5,0
"23",1,372,1,24,1,6,"Block_3_Qualified_Conflict",5,3,1,5,1,2,5,0
"24",1,545,1,19,1,7,"Block_1_Generic_Conflict",5,1,4,2,5,2,5,1
"25",1,374,2,55,1,7,"Block_1_Generic_Conflict",2,4,4,5,4,5,5,0
"26",1,424,1,19,1,6,"Block_4_Qualified_Consistent",1,5,4,2,2,4,4,0
"28",1,669,2,31,1,7,"Block_2_Generic_Consistent",2,4,2,3,2,2,4,0
"29",1,652,2,28,1,7,"Block_2_Generic_Consistent",1,3,2,3,1,1,2,0
"30",1,394,1,23,1,7,"Block_4_Qualified_Consistent",3,2,2,3,3,2,4,0
"31",1,391,2,21,1,7,"Block_2_Generic_Consistent",2,2,3,2,2,3,3,0
"32",1,455,2,21,1,7,"Block_3_Qualified_Conflict",5,5,4,2,5,5,5,-1
"34",1,388,2,19,1,7,"Block_1_Generic_Conflict",3,4,5,3,4,3,4,0
"35",1,372,2,23,1,7,"Block_3_Qualified_Conflict",4,5,4,3,4,4,5,-1
"36",1,381,2,33,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
"37",1,724,2,69,1,7,"Block_3_Qualified_Conflict",5,5,1,5,1,5,4,0
"38",1,460,2,33,1,7,"Block_4_Qualified_Consistent",1,2,1,4,1,2,4,0
"39",1,449,2,30,1,7,"Block_2_Generic_Consistent",1,5,4,2,3,1,4,0
"40",1,396,1,21,1,7,"Block_4_Qualified_Consistent",1,3,1,3,1,1,4,0
"41",1,446,2,19,1,6,"Block_2_Generic_Consistent",1,3,4,3,3,1,3,0
"42",1,510,2,20,1,7,"Block_3_Qualified_Conflict",5,5,5,3,2,2,5,0
"43",1,492,1,68,1,7,"Block_4_Qualified_Consistent",1,1,4,5,2,3,3,0
"44",1,513,2,48,1,7,"Block_1_Generic_Conflict",1,4,5,5,5,5,4,0
"45",1,698,2,35,1,7,"Block_1_Generic_Conflict",5,5,5,4,5,5,5,-1
"46",1,531,1,44,1,7,"Block_2_Generic_Consistent",1,1,1,1,1,1,2,1
"47",1,796,2,55,1,7,"Block_4_Qualified_Consistent",2,2,4,3,2,2,5,0
"48",1,950,2,32,1,7,"Block_3_Qualified_Conflict",5,5,4,3,4,3,4,1
"49",1,810,2,58,1,6,"Block_4_Qualified_Consistent",1,2,3,5,1,2,4,0
"50",1,395,2,51,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,0
"51",1,670,2,50,1,7,"Block_3_Qualified_Conflict",4,5,5,5,5,5,4,0
"53",1,674,1,25,1,5,"Block_3_Qualified_Conflict",4,5,4,3,4,2,4,-1
"54",1,353,2,27,1,7,"Block_3_Qualified_Conflict",5,5,5,2,5,5,1,0
"55",1,316,2,35,1,7,"Block_2_Generic_Consistent",1,2,5,4,1,1,4,1
"56",1,343,2,30,1,7,"Block_4_Qualified_Consistent",3,1,1,5,1,1,3,1
"57",1,344,2,64,1,7,"Block_1_Generic_Conflict",4,5,5,4,5,5,4,0
"58",1,355,2,22,1,6,"Block_2_Generic_Consistent",1,1,1,3,2,1,1,0
"59",1,329,1,18,1,7,"Block_1_Generic_Conflict",5,5,1,3,5,4,4,0
"60",1,378,2,26,1,6,"Block_1_Generic_Conflict",5,3,4,3,2,4,4,-1
"61",1,367,1,35,1,7,"Block_3_Qualified_Conflict",4,4,4,4,4,5,4,0
"62",1,355,1,59,1,7,"Block_4_Qualified_Consistent",2,2,3,4,1,3,4,0
"63",1,336,1,35,1,7,"Block_3_Qualified_Conflict",4,5,5,5,5,5,5,0
"64",1,349,2,32,1,7,"Block_1_Generic_Conflict",4,5,4,4,4,5,4,1
"65",1,372,2,25,1,7,"Block_1_Generic_Conflict",4,3,2,3,4,3,4,0
"66",1,371,1,19,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,4,-1
"67",1,391,2,28,1,7,"Block_2_Generic_Consistent",1,1,1,1,1,1,4,0
"68",1,378,2,19,1,7,"Block_1_Generic_Conflict",4,4,4,1,4,4,4,-1
"69",1,381,2,24,1,7,"Block_2_Generic_Consistent",1,2,1,3,1,1,2,0
"70",1,392,2,19,1,7,"Block_3_Qualified_Conflict",5,4,4,2,5,5,5,0
"71",1,410,1,32,1,6,"Block_4_Qualified_Consistent",1,1,2,3,4,1,5,-1
"72",1,392,2,24,1,7,"Block_1_Generic_Conflict",5,4,5,4,5,5,5,-1
"73",1,382,1,24,1,5,"Block_2_Generic_Consistent",1,2,2,2,1,3,5,0
"74",1,338,1,37,1,7,"Block_4_Qualified_Consistent",1,4,4,4,2,1,2,0
"75",1,307,2,43,1,7,"Block_4_Qualified_Consistent",3,2,1,1,3,2,4,0
"76",1,383,1,30,1,7,"Block_4_Qualified_Consistent",2,2,2,2,4,2,4,1
"77",1,390,2,47,1,7,"Block_2_Generic_Consistent",1,1,1,5,1,1,2,0
"78",1,340,1,28,1,7,"Block_4_Qualified_Consistent",1,1,2,1,2,1,2,1
"79",1,399,2,41,1,7,"Block_3_Qualified_Conflict",4,5,3,3,5,5,4,0
"80",1,360,1,22,1,7,"Block_1_Generic_Conflict",5,5,5,3,2,4,5,1
"81",1,381,2,31,1,5,"Block_2_Generic_Consistent",1,4,4,2,2,5,4,0
"82",1,379,2,33,1,6,"Block_3_Qualified_Conflict",5,5,5,4,4,4,5,-1
"83",1,397,1,25,1,7,"Block_3_Qualified_Conflict",2,2,1,4,4,3,5,0
"84",1,434,2,29,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
"85",1,427,2,22,1,7,"Block_1_Generic_Conflict",5,5,5,4,5,5,5,-1
"86",1,365,2,30,1,7,"Block_4_Qualified_Consistent",2,2,4,4,4,3,4,0
"87",1,400,1,30,1,7,"Block_2_Generic_Consistent",3,1,4,4,1,1,3,1
"88",1,395,2,41,1,7,"Block_1_Generic_Conflict",4,4,4,4,1,1,3,0
"89",1,367,2,31,1,7,"Block_4_Qualified_Consistent",3,1,1,3,1,3,4,1
"90",1,326,2,26,1,7,"Block_4_Qualified_Consistent",1,1,1,1,1,1,5,0
"91",1,383,2,28,1,7,"Block_4_Qualified_Consistent",2,2,2,4,3,2,4,-1
"92",1,350,2,20,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
"93",1,364,1,20,1,6,"Block_2_Generic_Consistent",1,1,1,4,4,1,2,1
"94",1,359,2,24,1,7,"Block_4_Qualified_Consistent",2,1,2,3,1,1,4,0
"95",1,341,2,45,1,4,"Block_3_Qualified_Conflict",5,5,5,5,5,5,4,0
"96",1,431,1,19,1,7,"Block_1_Generic_Conflict",2,5,5,4,5,5,5,-1
"97",1,449,2,43,1,7,"Block_4_Qualified_Consistent",1,1,1,5,1,2,4,0
"98",1,400,1,22,1,7,"Block_4_Qualified_Consistent",2,2,4,5,3,1,4,-1
"99",1,384,2,60,1,7,"Block_3_Qualified_Conflict",5,5,4,4,3,5,4,0
"100",1,408,1,30,1,7,"Block_1_Generic_Conflict",4,4,4,4,4,4,5,1
"102",1,404,2,38,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,0
"103",1,357,2,22,1,7,"Block_1_Generic_Conflict",5,5,5,4,5,5,5,-1
"104",1,373,2,21,1,7,"Block_2_Generic_Consistent",4,2,2,4,2,1,5,-1
"105",1,359,1,21,1,6,"Block_2_Generic_Consistent",2,1,4,5,1,1,4,1
"106",1,450,1,45,1,7,"Block_3_Qualified_Conflict",5,5,3,5,5,5,5,-1
"107",1,368,2,40,1,7,"Block_3_Qualified_Conflict",4,4,2,4,4,4,4,0
"108",1,413,1,29,1,7,"Block_2_Generic_Consistent",1,1,1,1,4,1,3,1
"109",1,459,2,62,1,6,"Block_4_Qualified_Consistent",4,3,4,4,1,4,4,-1
"110",1,397,1,20,1,6,"Block_3_Qualified_Conflict",4,4,5,4,2,1,5,0
"111",1,346,2,22,1,7,"Block_4_Qualified_Consistent",2,2,2,3,4,4,4,-1
"112",1,372,1,41,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,0
"113",1,386,1,18,1,7,"Block_2_Generic_Consistent",1,1,1,3,1,1,4,-1
"114",1,388,2,26,1,7,"Block_2_Generic_Consistent",1,2,2,4,1,2,4,0
"115",1,471,2,33,1,6,"Block_4_Qualified_Consistent",5,1,5,2,3,1,5,0
"116",1,466,1,62,1,6,"Block_3_Qualified_Conflict",5,4,5,5,5,5,2,1
"117",1,450,2,28,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,-1
"118",1,458,1,26,1,4,"Block_2_Generic_Consistent",2,2,3,3,2,2,3,0
"119",1,418,2,26,1,7,"Block_4_Qualified_Consistent",2,1,1,3,1,1,2,0
"120",1,342,1,49,1,7,"Block_1_Generic_Conflict",5,5,5,3,5,5,4,0
"121",1,404,1,31,1,7,"Block_4_Qualified_Consistent",1,3,5,2,1,2,4,1
"122",1,414,1,23,1,7,"Block_1_Generic_Conflict",5,5,1,5,5,5,5,-1
"123",1,409,2,43,1,7,"Block_3_Qualified_Conflict",1,5,5,5,5,5,4,-1
"124",1,434,1,64,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
"125",1,446,1,33,1,7,"Block_2_Generic_Consistent",1,1,4,3,1,1,2,1
"126",1,378,1,35,1,7,"Block_1_Generic_Conflict",4,4,4,4,4,4,4,0
"127",1,444,2,19,1,7,"Block_4_Qualified_Consistent",1,2,3,3,1,4,2,0
"128",1,437,1,61,1,6,"Block_4_Qualified_Consistent",2,2,2,2,2,2,4,0
"129",1,423,2,24,1,6,"Block_4_Qualified_Consistent",3,3,2,3,2,2,4,-1
"130",1,438,1,53,1,7,"Block_3_Qualified_Conflict",5,5,5,3,4,4,5,1
"131",1,477,2,19,1,7,"Block_2_Generic_Consistent",1,1,2,3,1,1,4,0
"132",1,417,2,40,1,7,"Block_2_Generic_Consistent",4,2,1,3,1,4,4,0
"133",1,446,2,36,1,7,"Block_1_Generic_Conflict",5,4,5,4,5,5,5,0
"134",1,448,2,54,1,7,"Block_2_Generic_Consistent",2,2,4,3,2,2,4,0
"135",1,439,1,19,1,6,"Block_4_Qualified_Consistent",3,3,4,2,1,1,4,-1
"136",1,424,1,41,1,7,"Block_4_Qualified_Consistent",2,1,1,3,2,2,4,1
"137",1,428,2,23,1,7,"Block_3_Qualified_Conflict",4,3,5,2,5,5,5,0
"138",1,423,2,47,1,6,"Block_1_Generic_Conflict",5,5,5,4,5,5,5,-1
"139",1,386,2,58,1,7,"Block_2_Generic_Consistent",1,1,1,5,1,1,4,1
"140",1,486,1,46,1,7,"Block_1_Generic_Conflict",4,5,4,1,2,5,5,0
"141",1,424,2,60,1,6,"Block_3_Qualified_Conflict",3,4,2,2,2,4,4,-1
"142",1,506,2,25,1,7,"Block_2_Generic_Consistent",2,1,3,3,1,3,4,0
"143",1,420,2,57,1,7,"Block_1_Generic_Conflict",3,5,3,5,5,5,5,-1
"144",1,373,2,26,1,7,"Block_3_Qualified_Conflict",5,5,5,3,4,5,5,0
"145",1,475,1,52,1,7,"Block_3_Qualified_Conflict",1,5,1,5,5,5,5,0
"146",1,440,2,21,1,7,"Block_1_Generic_Conflict",5,4,5,5,4,5,4,1
"147",1,415,2,41,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,0
"148",1,387,2,20,1,5,"Block_4_Qualified_Consistent",4,4,4,4,4,4,5,1
"149",1,492,2,19,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
"150",1,511,1,37,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,-1
"151",1,490,1,56,1,7,"Block_3_Qualified_Conflict",2,4,5,5,5,5,5,-1
"152",1,404,1,28,1,7,"Block_2_Generic_Consistent",1,1,4,4,2,2,2,0
"153",1,463,2,26,1,6,"Block_1_Generic_Conflict",3,5,4,4,5,2,4,0
"154",1,468,1,24,1,7,"Block_4_Qualified_Consistent",1,2,4,3,2,1,2,1
"155",1,429,1,37,1,7,"Block_2_Generic_Consistent",1,2,2,2,1,1,2,1
"156",1,392,1,23,1,7,"Block_2_Generic_Consistent",4,5,4,2,1,1,4,0
"157",1,449,1,40,1,7,"Block_1_Generic_Conflict",5,5,1,3,5,3,5,-1
"158",1,506,2,49,1,7,"Block_2_Generic_Consistent",2,2,2,5,1,1,4,-1
"159",1,426,1,21,1,7,"Block_2_Generic_Consistent",1,1,4,2,2,1,2,1
"160",1,437,2,24,1,7,"Block_4_Qualified_Consistent",1,1,3,3,2,1,4,1
"161",1,389,2,54,1,6,"Block_4_Qualified_Consistent",2,2,2,1,1,1,4,0
"162",1,386,1,43,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,1
"163",1,407,2,50,1,7,"Block_3_Qualified_Conflict",4,5,4,3,4,5,4,0
"164",1,439,2,32,1,6,"Block_4_Qualified_Consistent",2,2,2,2,2,2,5,1
"165",1,425,2,18,1,7,"Block_3_Qualified_Conflict",5,2,1,2,1,4,5,-1
"166",1,520,1,42,1,7,"Block_2_Generic_Consistent",2,2,2,2,2,2,3,1
"167",1,490,1,47,1,7,"Block_1_Generic_Conflict",1,5,5,5,3,4,4,-1
"168",1,470,1,66,1,7,"Block_4_Qualified_Consistent",2,2,3,5,1,2,4,0
"169",1,427,1,43,1,7,"Block_2_Generic_Consistent",4,2,4,3,4,2,4,-1
"170",1,479,2,26,1,7,"Block_3_Qualified_Conflict",5,5,5,4,5,5,5,-1
"171",1,443,1,55,1,7,"Block_1_Generic_Conflict",5,5,4,4,5,5,4,0
"172",1,472,2,57,1,7,"Block_2_Generic_Consistent",1,1,4,4,1,1,4,0
"173",1,436,1,23,1,7,"Block_4_Qualified_Consistent",2,1,4,3,2,1,5,0
"174",1,450,2,32,1,7,"Block_4_Qualified_Consistent",4,4,4,4,4,4,1,0
"175",1,408,2,30,1,7,"Block_1_Generic_Conflict",5,4,4,3,4,4,5,0
"176",1,412,2,24,1,7,"Block_2_Generic_Consistent",1,2,1,3,1,2,4,1
"177",1,455,1,34,1,7,"Block_4_Qualified_Consistent",1,1,5,5,1,1,4,-1
"178",1,512,2,18,1,7,"Block_3_Qualified_Conflict",4,5,5,2,5,5,4,-1
"179",1,430,2,30,1,7,"Block_4_Qualified_Consistent",2,2,2,3,1,1,4,0
"180",1,474,2,41,1,7,"Block_1_Generic_Conflict",4,5,4,4,4,5,5,0
"181",1,433,2,31,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,0
"182",1,505,1,18,1,7,"Block_2_Generic_Consistent",3,3,1,2,3,2,4,0
"183",1,478,1,46,1,6,"Block_2_Generic_Consistent",1,3,4,3,5,1,5,0
"184",1,459,2,21,1,5,"Block_1_Generic_Conflict",4,5,5,3,2,3,4,0
"185",1,476,1,68,1,7,"Block_3_Qualified_Conflict",4,5,5,4,3,5,5,-1
"186",1,516,2,51,1,7,"Block_3_Qualified_Conflict",4,4,4,4,3,3,4,-1
"187",1,446,1,30,1,7,"Block_3_Qualified_Conflict",5,5,5,4,5,5,5,-1
"188",1,454,1,37,1,7,"Block_1_Generic_Conflict",5,5,1,3,1,1,5,1
"189",1,521,1,35,1,6,"Block_2_Generic_Consistent",2,4,5,2,5,4,4,1
"190",1,429,2,26,1,5,"Block_1_Generic_Conflict",5,5,3,4,4,3,4,0
"191",1,480,2,19,1,7,"Block_3_Qualified_Conflict",5,5,5,3,5,3,5,0
"192",1,532,2,28,1,7,"Block_4_Qualified_Consistent",1,2,5,4,5,1,5,-1
"193",1,501,2,22,1,7,"Block_2_Generic_Consistent",1,1,1,3,1,2,4,0
"194",1,533,2,52,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,-1
"195",1,514,1,27,1,7,"Block_1_Generic_Conflict",5,5,5,5,1,5,5,-1
"196",1,554,1,47,1,5,"Block_4_Qualified_Consistent",4,1,1,2,1,1,4,0
"197",1,380,2,18,1,6,"Block_2_Generic_Consistent",4,2,3,5,1,1,4,-1
"198",1,524,1,34,1,7,"Block_2_Generic_Consistent",3,3,3,3,3,3,4,0
"199",1,584,1,21,1,7,"Block_3_Qualified_Conflict",5,4,5,5,5,5,4,0
"200",1,434,2,42,1,7,"Block_2_Generic_Consistent",1,1,1,3,4,2,4,1
"201",1,546,2,26,1,7,"Block_3_Qualified_Conflict",2,2,4,2,2,4,2,0
"202",1,568,1,38,1,7,"Block_1_Generic_Conflict",5,4,5,4,4,4,5,0
"203",1,554,2,25,1,7,"Block_1_Generic_Conflict",4,5,4,4,4,5,5,0
"204",1,420,1,35,1,7,"Block_1_Generic_Conflict",4,5,2,3,5,5,5,-1
"205",1,516,2,27,1,7,"Block_4_Qualified_Consistent",2,4,1,3,1,1,4,0
"206",1,478,1,57,1,7,"Block_2_Generic_Consistent",1,1,1,2,1,1,1,0
"207",1,464,2,39,1,7,"Block_2_Generic_Consistent",2,2,4,2,2,2,3,0
"208",1,508,2,51,1,7,"Block_3_Qualified_Conflict",2,5,1,5,5,5,4,-1
"209",1,439,1,38,1,7,"Block_3_Qualified_Conflict",5,5,4,4,3,4,4,0
"210",1,475,2,65,1,7,"Block_2_Generic_Consistent",1,2,2,2,1,2,1,0
"211",1,486,1,32,1,7,"Block_4_Qualified_Consistent",1,1,1,1,1,1,1,0
"212",1,511,1,55,1,6,"Block_1_Generic_Conflict",3,4,4,4,4,5,5,-1
"213",1,476,1,38,1,6,"Block_1_Generic_Conflict",3,3,4,3,4,3,4,0
"214",1,550,2,33,1,7,"Block_2_Generic_Consistent",2,1,4,3,4,1,4,-1
"215",1,534,1,40,1,7,"Block_4_Qualified_Consistent",2,1,1,3,1,1,5,-1
"216",1,509,2,57,1,6,"Block_1_Generic_Conflict",5,4,5,5,5,5,5,0
"217",1,493,1,18,1,7,"Block_4_Qualified_Consistent",4,2,5,3,2,1,4,-1
"218",1,477,1,34,1,7,"Block_4_Qualified_Consistent",2,4,4,4,2,2,4,0
"219",1,612,1,35,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,4,5,0
"220",1,527,2,25,1,7,"Block_2_Generic_Consistent",4,1,2,5,1,1,4,0
"221",1,469,2,34,1,7,"Block_3_Qualified_Conflict",5,2,5,3,4,4,5,0
"222",1,523,2,47,1,7,"Block_3_Qualified_Conflict",5,2,2,3,4,4,4,0
"223",1,501,2,49,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,-1
"224",1,649,1,35,1,6,"Block_4_Qualified_Consistent",1,3,5,3,1,3,5,0
"225",1,522,2,19,1,7,"Block_3_Qualified_Conflict",5,4,4,3,3,4,4,-1
"226",1,639,1,36,1,6,"Block_2_Generic_Consistent",1,1,1,5,2,1,5,0
"227",1,604,2,53,1,7,"Block_2_Generic_Consistent",1,1,4,2,2,1,2,0
"228",1,543,1,33,1,4,"Block_1_Generic_Conflict",4,5,5,4,5,4,4,1
"229",1,521,1,19,1,7,"Block_2_Generic_Consistent",1,2,3,3,1,1,4,0
"230",1,554,1,22,1,6,"Block_2_Generic_Consistent",1,5,1,3,2,3,4,0
"232",1,622,2,52,1,7,"Block_2_Generic_Consistent",2,2,4,3,1,2,4,1
"233",1,620,2,27,1,7,"Block_4_Qualified_Consistent",2,2,4,3,2,1,4,0
"234",1,550,2,25,1,5,"Block_4_Qualified_Consistent",4,4,4,4,4,4,5,0
"236",1,646,2,24,1,6,"Block_4_Qualified_Consistent",3,3,2,2,3,3,4,-1
"237",1,652,2,30,1,7,"Block_4_Qualified_Consistent",1,1,1,1,2,1,2,1
"238",1,560,2,42,1,7,"Block_1_Generic_Conflict",5,5,5,4,3,5,4,-1
"239",1,592,1,25,1,7,"Block_2_Generic_Consistent",1,1,1,1,1,1,5,-1
"240",1,664,2,27,1,6,"Block_4_Qualified_Consistent",4,3,4,2,1,1,4,-1
"241",1,676,1,24,1,7,"Block_4_Qualified_Consistent",3,1,3,1,1,3,3,0
"242",1,571,2,23,1,7,"Block_1_Generic_Conflict",5,3,5,5,5,5,5,-1
"243",1,567,1,23,1,7,"Block_3_Qualified_Conflict",5,5,4,4,5,5,5,0
"244",1,658,2,60,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,0
"245",1,631,1,19,1,4,"Block_3_Qualified_Conflict",4,3,4,2,2,3,4,1
"246",1,615,1,21,1,7,"Block_1_Generic_Conflict",5,5,1,1,5,5,5,0
"249",1,593,2,42,1,7,"Block_3_Qualified_Conflict",4,4,3,2,5,4,4,-1
"250",1,557,2,34,1,7,"Block_4_Qualified_Consistent",3,2,4,2,1,1,4,0
"251",1,591,2,44,1,7,"Block_4_Qualified_Consistent",2,4,4,4,2,2,4,-1
"252",1,620,2,30,1,7,"Block_3_Qualified_Conflict",3,5,5,3,5,5,5,-1
"253",1,607,1,69,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,1,4,0
"254",1,620,1,49,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
"255",1,636,2,30,1,7,"Block_1_Generic_Conflict",5,3,2,4,4,5,5,0
"256",1,630,1,54,1,7,"Block_2_Generic_Consistent",1,5,5,5,1,1,4,0
"257",1,687,1,26,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,4,1
"258",1,712,1,18,1,7,"Block_2_Generic_Consistent",2,4,2,3,1,1,2,0
"259",1,643,2,53,1,7,"Block_4_Qualified_Consistent",1,1,5,5,4,2,4,0
"260",1,660,1,28,1,7,"Block_4_Qualified_Consistent",4,3,4,3,2,2,4,-1
"261",1,719,1,53,1,7,"Block_3_Qualified_Conflict",4,4,5,4,5,5,5,0
"262",1,762,2,29,1,7,"Block_3_Qualified_Conflict",4,2,5,4,5,2,4,0
"263",1,642,1,41,1,6,"Block_2_Generic_Consistent",1,1,1,4,1,1,3,1
"264",1,455,1,30,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,4,5,-1
"266",1,675,1,31,1,7,"Block_2_Generic_Consistent",2,1,2,2,2,1,4,1
"267",1,742,1,38,1,7,"Block_3_Qualified_Conflict",4,5,4,3,3,5,4,0
"268",1,723,2,32,1,7,"Block_4_Qualified_Consistent",1,5,5,5,4,1,2,1
"269",1,739,1,29,1,6,"Block_3_Qualified_Conflict",5,5,5,1,4,1,4,0
"271",1,823,2,21,1,7,"Block_2_Generic_Consistent",2,3,4,2,2,1,5,-1
"274",1,802,2,46,1,7,"Block_4_Qualified_Consistent",1,2,4,2,1,1,4,-1
"277",1,735,1,49,1,7,"Block_4_Qualified_Consistent",2,4,4,5,2,3,5,-1
"278",1,849,2,36,1,7,"Block_4_Qualified_Consistent",3,2,5,4,5,1,5,0
"279",1,842,1,30,1,7,"Block_1_Generic_Conflict",5,5,4,4,4,3,4,-1
"282",1,488,1,20,1,7,"Block_1_Generic_Conflict",4,5,5,3,5,2,5,0
"286",1,658,2,22,1,7,"Block_2_Generic_Consistent",1,1,2,1,1,1,4,-1
"287",1,824,2,39,1,6,"Block_2_Generic_Consistent",1,1,2,1,1,1,3,1
"288",1,868,2,55,1,7,"Block_1_Generic_Conflict",5,2,5,1,5,5,4,1
"292",1,918,2,25,1,7,"Block_3_Qualified_Conflict",2,5,5,4,2,5,5,-1
"294",1,733,2,36,1,7,"Block_2_Generic_Consistent",1,1,5,1,1,1,5,-1
"295",1,444,1,18,1,7,"Block_4_Qualified_Consistent",1,2,3,3,1,1,4,0
"297",1,856,1,31,1,7,"Block_4_Qualified_Consistent",4,2,2,4,4,2,4,1
"300",1,648,1,18,1,7,"Block_1_Generic_Conflict",5,5,4,4,3,3,4,1
"301",1,738,2,62,1,7,"Block_3_Qualified_Conflict",4,5,5,2,5,5,5,0
"303",1,436,1,24,1,7,"Block_1_Generic_Conflict",5,2,4,4,5,2,4,1
"305",1,558,1,19,1,6,"Block_2_Generic_Consistent",5,3,1,4,4,3,4,0
"306",1,951,2,24,1,7,"Block_1_Generic_Conflict",4,3,4,4,4,3,4,-1
"307",1,355,2,30,1,7,"Block_4_Qualified_Consistent",1,2,2,2,2,2,3,0
"310",1,424,1,22,1,7,"Block_2_Generic_Consistent",2,1,2,4,1,2,5,0
"311",1,1131,1,49,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,-1
"316",1,1045,2,28,1,5,"Block_1_Generic_Conflict",5,5,4,4,4,5,5,-1
"317",1,1407,1,56,1,7,"Block_4_Qualified_Consistent",1,1,5,3,1,1,4,0
"320",1,856,2,36,1,6,"Block_3_Qualified_Conflict",4,5,5,3,4,5,5,-1
"321",1,1075,2,32,1,7,"Block_3_Qualified_Conflict",4,5,5,3,4,5,4,-1
"322",1,1129,1,26,1,7,"Block_3_Qualified_Conflict",2,3,1,1,4,5,4,0
"325",1,1514,1,34,1,7,"Block_4_Qualified_Consistent",1,1,5,2,4,2,4,0
"326",1,1600,2,36,1,7,"Block_3_Qualified_Conflict",4,5,1,5,5,5,5,-1
"330",1,587,1,58,1,7,"Block_2_Generic_Consistent",2,4,4,4,2,2,5,0
"334",1,366,2,31,1,7,"Block_4_Qualified_Consistent",1,3,1,5,1,3,5,-1
"335",1,368,2,27,1,7,"Block_3_Qualified_Conflict",5,5,2,3,4,5,4,1
"336",1,429,2,21,1,5,"Block_2_Generic_Consistent",2,2,4,4,4,2,4,1
"337",1,514,1,36,1,6,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,-1
"338",1,512,2,40,1,6,"Block_2_Generic_Consistent",2,4,2,3,2,3,4,-1
"339",1,388,2,35,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
