"country","D","overlap","overlap2","DlowCI","DhighCI","OlowCI","OhighCI","d_int","d_kind","d_health","d_physatt","d_resources"
"Algeria",0.624034786175821,0.755027304973115,0.606460935239074,0.486600384704156,0.812665241352207,0.520332416495289,0.677532682694745,0.118276385460282,0.0999901198753479,0.0872175437575359,0.429811509313552,-0.191207924899638
"Australia",0.578981802305907,0.772205741791458,0.628937410831497,0.441897181595322,0.777405879002399,0.535503812912427,0.702319568586455,-0.04107136676225,-0.193633119523967,-0.0650989640335204,0.331729159696019,-0.110192642496147
"Austria",0.865561600984622,0.665174022789342,0.498322653398861,0.591904338108196,1.34908784289005,0.333302731300478,0.622410827306973,0.0569245092864516,-0.199164131324219,-0.002592773802243,0.40215561235674,-0.501799022605216
"Belgium",0.74027513666826,0.711279991304517,0.551927483476039,0.581191977049569,0.971845476465418,0.456687522714295,0.627816557046325,-0.00344542700982795,-0.134622391369922,-0.381098456075615,0.332460208543037,-0.35706178378341
"Brazil",0.820657074482056,0.681564960908954,0.516949975312274,0.642893450778942,1.09126561173193,0.413745648823377,0.597280635171223,-0.0844297139907413,-0.223670970826907,-0.0995148467241496,0.593737228275334,-0.230295601298312
"Bulgaria",0.549904743786198,0.783352830165477,0.643861958986862,0.358713066128916,1.05117093544819,0.427731367735711,0.750788799602964,-0.0271985858892374,-0.143457743400673,0.0872494495467751,0.292339970289703,-0.257531166212573
"Chile",0.579757434485898,0.771909024077236,0.628543845049621,0.388031048393739,0.946336137373509,0.466375937697459,0.733348176877025,-0.104620187369794,-0.336280073844131,-0.0584318405645786,0.248736462976342,-0.253996967639375
"China",0.982780829069755,0.623150342514668,0.452591420658654,0.796035835859436,1.24189246268475,0.364847667228457,0.527436944304029,-0.50838376374106,0.00465476369838296,-0.548213785517602,-0.207607745474019,-0.85790282160992
"Colombia",0.756220030738633,0.705348868487177,0.544817712910013,0.520430028690053,1.15964478829342,0.390853850877104,0.659335067284671,-0.10551261293004,-0.392386609477513,-0.184374383628105,0.418989789747442,-0.28943910600476
"Costa Rica",0.478427568306562,0.810939814699638,0.682000646161398,0.316338954736124,0.93472512973652,0.470848339851945,0.776708995734554,-0.180465507570876,0.00981256092904028,0.077461833966662,0.343771156311182,-0.0208030641676384
"Croatia",0.756981082897523,0.705066218932738,0.544480520348797,0.595625928335835,0.991330496552931,0.449412541747919,0.620543197422952,-0.172104953748049,-0.316938464051671,-0.159555697996182,0.223652506959577,-0.403873120821817
"Cuba",0.932690628438069,0.640968348202918,0.471636070694416,0.73977052096936,1.24546728878928,0.363753742265328,0.552153906187091,-0.142140231539382,-0.263210595054708,-0.0364937825372339,0.556820638080463,-0.287765049253308
"El Salvador",1.1018743204665,0.581676752614347,0.410115785443503,0.740405583995047,1.92203177917496,0.202316271393024,0.551868966538282,0.131265308541935,-0.367923728814837,-0.00515857619124583,0.892260017702218,0.235278657315523
"Estonia",0.531007319543156,0.79062149090798,0.653741971569815,0.349692860212458,0.892134468449001,0.487595698368129,0.756235102307633,-0.213934267624099,0.0775949201191001,0.052057797856359,0.248184139596246,-0.35850322223271
"Georgia",1.41501277636627,0.479251844233837,0.315142150537336,1.1528367310628,1.85604766169212,0.214620540718657,0.393080157933958,-0.444084542365987,-0.549365447335013,-0.265747860756854,0.664580412928515,-0.501599847992487
"Germany",1.08715300759134,0.58673293214442,0.415160690777787,0.754250506964331,1.80036644226838,0.22550728253095,0.545691247372715,-0.61792466446107,-0.102345701982094,-0.41656609497927,0.3666375549446,-0.393115294449344
"Greece",0.698689153516096,0.726830636525691,0.57088291422774,0.47274070486923,1.12978371730386,0.400704729867869,0.685126241337038,-0.472099615598561,-0.282869996099927,-0.26582798027528,0.285379468484187,-0.183041311050194
"Hungary",0.76589428644025,0.701758955591666,0.540545963027605,0.645280720504189,0.926606735092807,0.47399895280692,0.59612795186395,-0.17213227268044,0.046747227684599,0.176969571098156,0.370602563093803,-0.498396748906033
"India",0.806090267446515,0.686915022004964,0.523130668248007,0.608523095040183,1.0952285039936,0.412386290099824,0.614112036866968,-0.0950434799266169,-0.211489247464027,-0.196058695031728,0.254780869567271,-0.491492380272085
"Indonesia",1.10611905752603,0.580222648289524,0.408671576279549,0.816461570837991,1.72084035936375,0.241894671006287,0.51872310196898,0,-0.203359578944178,-0.154458701020435,0.4512932733858,-0.394289585869867
"Iran",1.13526194785641,0.570285570615182,0.398880754711671,0.91328847107445,1.49885338347719,0.293326496099251,0.479209830029728,-0.414044756492264,-0.0185718001986198,0.309827784800557,0.665353084599102,-0.366582388875367
"Italy",0.688477859077792,0.730666607754969,0.575630178973438,0.515638523664894,0.939985688291766,0.46881715514228,0.661883762622117,-0.0270826597875679,-0.0478345520589175,-0.0104458925705346,0.515334332638403,-0.13158339281415
"Jordan",0.653302100849148,0.743931827009656,0.59227026287798,0.445084161789494,1.037564788774,0.432574960762488,0.700523984201897,0.00798655312851962,-0.0069056641181294,0.116046882855294,-0.0208718544066737,-0.578209239362545
"Lithuania",0.689234644212485,0.730382081518231,0.575277074217442,0.515024541466291,0.972272542207097,0.456526916370776,0.662211032409,0.123613107226628,-0.0497928768898523,-0.0063361843717987,0.46327550967836,-0.210277296071088
"Malaysia",0.507982717946906,0.79950223379325,0.66597561136616,0.337579587025068,0.812349634729709,0.520466415991345,0.763609311684579,-0.167443862512375,-0.189538657870838,-0.271050927158015,0.138819518837386,-0.158451677045811
"Mexico",0.843977929584339,0.673033072181776,0.507196568409105,0.648397917037867,1.22768801146339,0.369223806408264,0.594625996239437,-0.317873120935228,-0.41001982336233,-0.26150632642687,0.287140628788608,-0.446675755743728
"Nigeria",0.299519446443745,0.880954187119236,0.787236927191919,0.192588678354589,0.618615754141943,0.609123523823413,0.857504870176019,-0.0734248929354705,-0.117358494701742,-0.195202259952813,-0.147580886624193,-0.255691929485973
"Norway",0.748841964071375,0.708091134943618,0.548096815569661,0.569023179818034,1.04000918760371,0.431701100296634,0.634011429504233,-0.0517857506790168,-0.316246860743383,0.167087612974609,0.289746589418277,-0.407140990275337
"Pakistan",0.472329348732226,0.81330489002614,0.685352862070912,0.336750845046004,0.679607811470168,0.579784079950622,0.76411637044739,-0.0766979045341411,-0.161222369777194,-0.25552388525878,0.0152715636645007,-0.35482996346564
"Peru",0.887686025981172,0.657156087965733,0.489376376566514,0.654606045862424,1.24979170493848,0.362434400878136,0.591645398007267,-0.28066803942834,-0.208956197670442,0.0818528371164489,0.292198337395057,-0.435848746365121
"Poland",0.972577584027818,0.626762424645759,0.45641223040673,0.828413781544588,1.16798275796563,0.388142870302798,0.513686674397268,-0.336875256247624,-0.046775085346116,-0.10268668346611,0.253539900784367,-0.683421117495035
"Portugal",0.503999391439862,0.801041298994064,0.668114171340501,0.342996936086901,0.821223692441143,0.516710942256183,0.760302798248458,0.0214916723511573,-0.0342895105916248,-0.0396880418126703,0.382202434260711,-0.028769663337294
"Romania",0.346949272671793,0.862278362887824,0.757899238935549,0.225717096665133,0.726513156232556,0.558133851278609,0.835102632155626,-0.0798440129686744,0.0152432117324732,-0.075678992577841,0.248372285853717,-0.0175021605562984
"Russia",0.835196024951504,0.676241050178665,0.510849086436723,0.614121219242698,1.19104405867107,0.38073352730689,0.611340276708778,0.00227808098741092,0.20027758306289,-0.137771905605769,0.384868504343089,-0.408031007563095
"Slovakia",0.699150173013105,0.726657610726292,0.570669457678829,0.455660686971048,1.14679390667525,0.39506588597788,0.694596636002059,-0.320169052986922,-0.243331625304343,-0.119210790237559,0.229618373105551,-0.241682342131136
"Slovenia",0.402755596260403,0.840403174129271,0.724737387495193,0.287153442219809,0.594254869529897,0.621230624311164,0.795065815847529,-0.0448642978576141,-0.229120003969254,-0.121441847960576,0.102831675463232,-0.218539701078434
"South Korea",0.78317719524422,0.695362214200717,0.532992545340625,0.583331696798228,1.1160911180995,0.405296974780143,0.626733244126724,-0.265077958719584,0.190559428339659,-0.497485027162482,-0.151404678104031,-0.50700216439473
"Spain",0.739746912222204,0.711476780032282,0.552164500419408,0.570181806535021,0.983721657167944,0.452240597085627,0.63341910030082,0.0805351346008519,-0.177214231806661,-0.185457998735074,0.50579696971847,-0.0366355008882119
"Sweden",0.381963284556206,0.848539975772231,0.736925258296577,0.248125714537276,0.705183245145578,0.567883006574396,0.820275977606931,-0.152249683984751,-0.285495025083426,-0.0876048007603424,0.0752571865671804,-0.211003760384869
"The Netherlands",0.59224175673252,0.767137770004202,0.62224127833555,0.41056293281453,0.923733711417775,0.475118588809214,0.720211435357559,-0.00974310139676423,-0.165209193333451,0.195834338053537,0.313190485441728,-0.206529053011304
"Turkey",0.710733965356682,0.722314680720254,0.5653306567907,0.60118728540999,0.850974167449007,0.504304154996385,0.61776222694281,-0.239543303871158,0.0432634082061608,-0.0545114045063998,0.253681892864618,-0.436030925453608
"Uganda",0.337366934295957,0.866045623724574,0.76373939008832,0.20969561263979,0.702276560299744,0.569223893417179,0.845864031501562,0.0931377104617558,0.162761697836596,0.109122887702409,0.221416123212694,-0.0528130686788839
"United States",0.773045136472571,0.699109691782186,0.537408640348738,0.567712597930322,1.14579641501583,0.395394546371961,0.634682079542251,-0.200901987742916,-0.421748949251283,0.039730494831047,0.390118136989119,-0.336024815049581
"Uruguay",0.717839896850099,0.719654975925298,0.562078941530147,0.512869856392041,1.07175491064079,0.420498175856904,0.663360765534578,-0.18412092177916,-0.233064128909986,-0.0624948914205586,0.466050529782503,-0.269700471616206
"Vietnam",0.865235977982495,0.665292318481975,0.498455450353974,0.678626236485062,1.1254049933173,0.402168086590629,0.580245492452975,-0.342690330168638,-0.179921356392778,-0.282837078575757,0.0362049971488839,-0.715033734391221
