Variable,Label,Values
ResponseID,Participant Response ID,
Control_1,Single-item control measure,
Control_2_1,Question 1: Seven-item control measure,
Control_2_2,Question 2: Seven-item control measure,
Control_2_3,Question 3: Seven-item control measure,
Control_2_4,Question 4: Seven-item control measure,
Control_2_5,Question 5: Seven-item control measure,
Control_2_6,Question 6: Seven-item control measure,
Control_2_7,Question 7: Seven-item control measure,
NeedforStructure_1,Question 1: Need for structure measure,
NeedforStructure_2,Question 2: Need for structure measure,
NeedforStructure_3,Question 3: Need for structure measure,
NeedforStructure_4,Question 4: Need for structure measure,
NeedforStructure_5,Question 5: Need for structure measure,
NeedforStructure_6,Question 6: Need for structure measure,
NeedforStructure_7,Question 7: Need for structure measure,
NeedforStructure_8,Question 8: Need for structure measure,
NeedforStructure_9,Question 9: Need for structure measure,
NeedforStructure_10,Question 10: Need for structure measure,
NeedforStructure_11,Question 11: Need for structure measure,
NeedforStructure_12,Question 12: Need for structure measure,
PolOrientation,Continuous political orientation item,
RepDem,Republican or Democrat item,"1=Republican, 2=Democrat, 3=Neither"
Dem_1_Q1,Item 1: Democrat Vignette 1,
Dem_1_Q2,Item 2: Democrat Vignette 1,
Dem_1_Q4,Item 3: Democrat Vignette 1,
Dem_1_Q5,Item 4: Democrat Vignette 1,
Dem_1_Q6,Item 5: Democrat Vignette 1,
Dem_2_Q1,Item 1: Democrat Vignette 2,
Dem_2_Q2,Item 2: Democrat Vignette 2,
Dem_2_Q4,Item 3: Democrat Vignette 2,
Dem_2_Q5,Item 4: Democrat Vignette 2,
Dem_2_Q6,Item 5: Democrat Vignette 2,
Dem_3_Q1,Item 1: Democrat Vignette 3,
Dem_3_Q2,Item 2: Democrat Vignette 3,
Dem_3_Q4,Item 3: Democrat Vignette 3,
Dem_3_Q5,Item 4: Democrat Vignette 3,
Dem_3_Q6,Item 5: Democrat Vignette 3,
Dem_4_Q1,Item 1: Democrat Vignette 4,
Dem_4_Q2,Item 2: Democrat Vignette 4,
Dem_4_Q4,Item 3: Democrat Vignette 4,
Dem_4_Q5,Item 4: Democrat Vignette 4,
Dem_4_Q6,Item 5: Democrat Vignette 4,
Dem_5_Q1,Item 1: Democrat Vignette 5,
Dem_5_Q2,Item 2: Democrat Vignette 5,
Dem_5_Q4,Item 3: Democrat Vignette 5,
Dem_5_Q5,Item 4: Democrat Vignette 5,
Dem_5_Q6,Item 5: Democrat Vignette 5,
Dem_Age,Participant Age,
Dem_Gender,Participant Gender,"1=Male, 2=Female, 3= Trans male / Trans man, 4= Trans female / trans woman, 5= Genderqueer / Gender nonconforming, 6= A different identity"
Dem_Citizen,Participant Citizenship status,"1=Yes, 2=No"
Dem_Ethnic,Participant ethnicity,"1= Hispanic or Latino, 2= Not Hispanice or Latino, 3= Unknown"
Dem_Race,Participant Race,"1=American Indian/Alaska Native, 2=East Asian, 3=South Asian, 4=Native Hawaiian or other Pacific Islander, 5= Black or African American, 6=White, 7=Other or unknown, 8= Multiracial"
Dem_MidEast,Participant Mideast status,"1=Yes, 2=No"
Dem_US,Participant US background,"1=Yes, 2=No"
Dem_YearsInUS,Participant years lived in US,
Dem_News,How closely participant follows the news,
Att_Q1,Attention Questions: Item 1,
Att_Q2,Attention Questions: Item 2,
Att_Q3,Attention Questions: Item 3,
Att_Q4,Attention Questions: Item 4,
Att_Q5,Attention Questions: Item 5,
Rep_1_Q1,Item 1: Republican Vignette 1,
Rep_1_Q2,Item 2: Republican Vignette 1,
Rep_1_Q4,Item 3: Republican Vignette 1,
Rep_1_Q5,Item 4: Republican Vignette 1,
Rep_1_Q6,Item 5: Republican Vignette 1,
Rep_2_Q1,Item 1: Republican Vignette 2,
Rep_2_Q2,Item 2: Republican Vignette 2,
Rep_2_Q4,Item 3: Republican Vignette 2,
Rep_2_Q5,Item 4: Republican Vignette 2,
Rep_2_Q6,Item 5: Republican Vignette 2,
Rep_3_Q1,Item 1: Republican Vignette 3,
Rep_3_Q2,Item 2: Republican Vignette 3,
Rep_3_Q4,Item 3: Republican Vignette 3,
Rep_3_Q5,Item 4: Republican Vignette 3,
Rep_3_Q6,Item 5: Republican Vignette 3,
Rep_4_Q1,Item 1: Republican Vignette 4,
Rep_4_Q2,Item 2: Republican Vignette 4,
Rep_4_Q4,Item 3: Republican Vignette 4,
Rep_4_Q5,Item 4: Republican Vignette 4,
Rep_4_Q6,Item 5: Republican Vignette 4,
Rep_5_Q1,Item 1: Republican Vignette 5,
Rep_5_Q2,Item 2: Republican Vignette 5,
Rep_5_Q4,Item 3: Republican Vignette 5,
Rep_5_Q5,Item 4: Republican Vignette 5,
Rep_5_Q6,Item 5: Republican Vignette 5,
NeedforStructure,Aggregate Need for Structure Score,
ScenarioScore,Aggregate score for response to news vignettes,
PolIdentStrength,"Strength of political identity(Slight, moderate, etc.).",